work_id,title,override_slug,automatic_slug,status,detail
HERRERA_FeNoHaMenesterArmas,"Fe no ha menester armas y venida del inglés a Cádiz, La",analisis-estilometrico-fe-no-ha-menester-armas-y-venida-del-ingles-cadiz-la,analisis-estilometrico-la-fe-no-ha-menester-armas-y-venida-del-ingles-a-cadiz,ok,present-in-old-csv
ALMEIDA-PINTO_FelizRestauracionDePortugal,"Feliz restauración de Portugal y muerte del secretario Miguel de Vasconcelos, La",analisis-estilometrico-la-feliz-restauracion-de-portugal-y-muerte-del-secretario-miguel-de,analisis-estilometrico-la-feliz-restauracion-de-portugal-y-muerte-del-secretario-miguel,ok,present-in-old-csv
CALDERON_FieraElRayo,"Fiera, el rayo y la piedra, El",analisis-estilometrico-fiera-el-rayo-y-la-piedra-el,analisis-estilometrico-el-fiera-el-rayo-y-la-piedra,ok,present-in-old-csv
TIRSO_FingidaArcadia,"Fingida Arcadia, La",analisis-estilometrico-la-fingida-arcadia,analisis-estilometrico-la-fingida-arcadia-0,ok,present-in-old-csv
MORETO&CALDERON_FingidaArcadia,"Fingida Arcadia, La",analisis-estilometrico-la-fingida-arcadia-la-arcadia-fingida,analisis-estilometrico-la-fingida-arcadia,ok,present-in-old-csv
CALDERON_FortunasDeAndromedaYPerseo(Comedia),"Fortunas de Andrómeda y Perseo, Las",analisis-estilometrico-fortunas-de-andromeda-y-perseo-las,analisis-estilometrico-las-fortunas-de-andromeda-y-perseo,ok,present-in-old-csv
MALASPINA_FuerzaDeLaVerdad(Transk-IMPR),"Fuerza de la verdad, La",analisis-estilometrico-el-diablo-predicador-la-fuerza-de-la-verdad,analisis-estilometrico-la-fuerza-de-la-verdad,ok,present-in-old-csv
TARREGA_FundacionDeLaOrdenMerced(Transk-IMPR),Fundación de la Orden de Nuestra Señora de la Merced por el Rey don Jaime,analisis-estilometrico-fundacion-de-la-orden-de-nuestra-senora-de-la-merced-por-el-rey-don,analisis-estilometrico-fundacion-de-la-orden-de-nuestra-senora-de-la-merced-por-el-rey,ok,present-in-old-csv
CALDERON_GalanFantasma,"Galán fantasma, El",analisis-estilometrico-galan-fantasma-el,analisis-estilometrico-el-galan-fantasma,ok,present-in-old-csv
ESQUIVEL_GalantearATodas(Transk-IMPR),Galantear a todas y no amar a ninguna,analisis-estilometrico-galantear-todas-y-no-amar-ninguna,analisis-estilometrico-galantear-a-todas-y-no-amar-a-ninguna,ok,present-in-old-csv
VILLEGAS-JUAN_GalasALaVejez(Transk-IMPR),"Galas a la vejez, Las",analisis-estilometrico-las-galas-la-vejez,analisis-estilometrico-las-galas-a-la-vejez,ok,present-in-old-csv
DIAMANTE&LANINI_GranCardenalDeEspanaCisneros(PrimeraParte)(Transk-MSS),"Gran cardenal de España fray Francisco Jiménez de Cisneros, El (primera parte)",analisis-estilometrico-el-gran-cardenal-de-espana-fray-francisco-jimenez-de-cisneros-0,analisis-estilometrico-el-gran-cardenal-de-espana-fray-francisco-jimenez-de-cisneros,ok,present-in-old-csv
DIAMANTE&LANINI_FrayFranciscoJimenezDeCisneros(SegundaParte)(Transk-MSS),"Gran cardenal de España fray Francisco Jiménez de Cisneros, El (segunda parte)",analisis-estilometrico-el-gran-cardenal-de-espana-fray-francisco-jimenez-de-cisneros,analisis-estilometrico-el-gran-cardenal-de-espana-fray-francisco-jimenez-de-cisneros-0,ok,present-in-old-csv
CALDERON_GranCenobia,"Gran Cenobia, La",analisis-estilometrico-gran-cenobia-la,analisis-estilometrico-la-gran-cenobia,ok,present-in-old-csv
OLIVARES_GuardarPalabraALosSantos(Transk-IMPR),Guardar palabra a los santos,analisis-estilometrico-guardar-palabra-los-santos,analisis-estilometrico-guardar-palabra-a-los-santos,ok,present-in-old-csv
BELMONTE&MARTINEZ_HameteDeToledo(Transk-IMPR),"Hamete de Toledo, El",analisis-estilometrico-el-hamete-de-toledo-0,analisis-estilometrico-el-hamete-de-toledo,ok,present-in-old-csv
LOPE_HameteDeToledo,"Hamete de Toledo, El",analisis-estilometrico-el-hamete-de-toledo,analisis-estilometrico-el-hamete-de-toledo-0,ok,present-in-old-csv
DESCONOCIDO(3)_HameteDeToledo(Burlesca),"Hamete de Toledo, El (Burlesca)",analisis-estilometrico-hamete-de-toledo-el-burlesca,analisis-estilometrico-el-hamete-de-toledo-burlesca,ok,present-in-old-csv
DESCONOCIDO_HazBienYNoMiresAQuien,Haz bien y no mires a quien,analisis-estilometrico-haz-bien-y-no-mires-quien,analisis-estilometrico-haz-bien-y-no-mires-a-quien,ok,present-in-old-csv
DIAMANTE_HerculesDeOcana,"Hércules de Ocaña, El",analisis-estilometrico-el-hercules-de-ocana-0,analisis-estilometrico-el-hercules-de-ocana,ok,present-in-old-csv
VELEZ_HerculesDeOcana,"Hércules de Ocaña, El",analisis-estilometrico-el-hercules-de-ocana,analisis-estilometrico-el-hercules-de-ocana-0,ok,present-in-old-csv
CALDERON_HijaDelAire(PrimeraParte),"Hija del aire, La (primera parte)",analisis-estilometrico-hija-del-aire-la-primera-parte,analisis-estilometrico-la-hija-del-aire-primera-parte,ok,present-in-old-csv
CALDERON_HijaDelAire(SegundaParte),"Hija del aire, La (segunda parte)",analisis-estilometrico-hija-del-aire-la-segunda-parte,analisis-estilometrico-la-hija-del-aire-segunda-parte,ok,present-in-old-csv
BENEYTO_HijoObediente(Transk-IMPR),"Hijo obediente, El",analisis-estilometrico-el-hijo-obediente-0,analisis-estilometrico-el-hijo-obediente,ok,present-in-old-csv
MORETO_HijoObediente,"Hijo obediente, El",analisis-estilometrico-el-hijo-obediente,analisis-estilometrico-el-hijo-obediente-0,ok,present-in-old-csv
LOPE_HijoProdigo(Auto),"Hijo pródigo, El",analisis-estilometrico-el-hijo-prodigo-2,analisis-estilometrico-el-hijo-prodigo-0,ok,present-in-old-csv
REMON_HijoProdigo(Auto),"Hijo pródigo, El",analisis-estilometrico-el-hijo-prodigo-0,analisis-estilometrico-el-hijo-prodigo-1,ok,present-in-old-csv
VALDIVIELSO_HijoProdigo(Auto),"Hijo pródigo, El",analisis-estilometrico-el-hijo-prodigo-1,analisis-estilometrico-el-hijo-prodigo-2,ok,present-in-old-csv
CALDERON_HijosDeLaFortuna,"Hijos de la fortuna, Teágenes y Cariclea, Los",analisis-estilometrico-hijos-de-la-fortuna-teagenes-y-cariclea-los,analisis-estilometrico-los-hijos-de-la-fortuna-teagenes-y-cariclea,ok,present-in-old-csv
CALDERON_HombrePobre,"Hombre pobre todo es trazas, El",analisis-estilometrico-hombre-pobre-todo-es-trazas-el,analisis-estilometrico-el-hombre-pobre-todo-es-trazas,ok,present-in-old-csv
CLARAMONTE_Honrado,Honrado con su sangre,analisis-estilometrico-el-honrado-con-su-sangre,analisis-estilometrico-honrado-con-su-sangre,ok,present-in-old-csv
