work_id,title,otrostitulos,new_url,slug
JUSTINIANO_OjosDelCielo(Transk-MSS),"Ojos del cielo, Los","Abogada de los ojos, Santa Lucía, La",https://etso.es/informes/analisis-estilometrico-los-ojos-del-cielo,analisis-estilometrico-los-ojos-del-cielo
VELEZ_OlleroDeOcana,"Ollero de Ocaña, El",,https://etso.es/informes/analisis-estilometrico-el-ollero-de-ocana,analisis-estilometrico-el-ollero-de-ocana
CALDERON_OrigenPerdida,"Origen, pérdida y restauración de la Virgen del Sagrario","Tres edades de España, Las",https://etso.es/informes/analisis-estilometrico-origen-perdida-y-restauracion-de-la-virgen-del-sagrario,analisis-estilometrico-origen-perdida-y-restauracion-de-la-virgen-del-sagrario
VIDAL_PacesDeIngenioYBelleza(Transk-MSS),Paces de ingenio y belleza,,https://etso.es/informes/analisis-estilometrico-paces-de-ingenio-y-belleza,analisis-estilometrico-paces-de-ingenio-y-belleza
CALDERONdudosa_PalabraEnLaMujer,"Palabra en la mujer, La",,https://etso.es/informes/analisis-estilometrico-la-palabra-en-la-mujer,analisis-estilometrico-la-palabra-en-la-mujer
GARCIA-LORENZO_ParecidoEnRusia(Transk-IMPR),"Parecido en Rusia, El",,https://etso.es/informes/analisis-estilometrico-el-parecido-en-rusia,analisis-estilometrico-el-parecido-en-rusia
CALDERONdudosa_PedirConMalIntento,"Pedir con mal intento, El",,https://etso.es/informes/analisis-estilometrico-el-pedir-con-mal-intento,analisis-estilometrico-el-pedir-con-mal-intento
CALLEJA-OTRO_PeregrinoEnSuPatria(Transk-MSS),"Peregrino en su patria, San Alejo, El",,https://etso.es/informes/analisis-estilometrico-el-peregrino-en-su-patria-san-alejo,analisis-estilometrico-el-peregrino-en-su-patria-san-alejo
VALDIVIELSO_Peregrino(Auto)(Modern-Aut),"Peregrino, El",,https://etso.es/informes/analisis-estilometrico-el-peregrino,analisis-estilometrico-el-peregrino
CUBILLO_PerfectaCasada,"Perfecta casada, La","Prudente, sabia y honrada",https://etso.es/informes/analisis-estilometrico-la-perfecta-casada,analisis-estilometrico-la-perfecta-casada
TORRE-JAIME_PerlaAsombroDelMar(Transk-IMPR),"Perla asombro del mar en la merced de su aurora, vida y muerte de Santa María de Cervellón y Socors, La",,https://etso.es/informes/analisis-estilometrico-la-perla-asombro-del-mar-en-la-merced-de-su-aurora-vida-y-muerte,analisis-estilometrico-la-perla-asombro-del-mar-en-la-merced-de-su-aurora-vida-y-muerte
LOPE_PerroDelHortelano,"Perro del hortelano, El","Condesa de Belflor, La",https://etso.es/informes/analisis-estilometrico-el-perro-del-hortelano,analisis-estilometrico-el-perro-del-hortelano
LOPEdudosa_PleitoPorLaHonra,"Pleito por la honra, El","Valor de Fernandito, El",https://etso.es/informes/analisis-estilometrico-el-pleito-por-la-honra,analisis-estilometrico-el-pleito-por-la-honra
LOPEdudosa_PorfiaHastaElTemor,Porfía hasta el temor,,https://etso.es/informes/analisis-estilometrico-porfia-hasta-el-temor,analisis-estilometrico-porfia-hasta-el-temor
PONCE-HORRUCHAS_PremiarElMayorAgravio(Transk-MSS),Premiar el mayor agravio y origen de la nobleza de Castilla,,https://etso.es/informes/analisis-estilometrico-premiar-el-mayor-agravio-y-origen-de-la-nobleza-de-castilla,analisis-estilometrico-premiar-el-mayor-agravio-y-origen-de-la-nobleza-de-castilla
EXIMENEZ_PremioDeLaHumildad(Transk-MSS),"Premio de la humildad y la traición castigada, El",,https://etso.es/informes/analisis-estilometrico-el-premio-de-la-humildad-y-la-traicion-castigada,analisis-estilometrico-el-premio-de-la-humildad-y-la-traicion-castigada
SCOTTI_PrimerBlasonDeIsrael(Transk-IMPR),"Primer blasón de Israel, El",,https://etso.es/informes/analisis-estilometrico-el-primer-blason-de-israel,analisis-estilometrico-el-primer-blason-de-israel
VELEZ_PrimerCondeOrgaz,"Primer conde de Orgaz y servicio bien pagado, El",,https://etso.es/informes/analisis-estilometrico-el-primer-conde-de-orgaz-y-servicio-bien-pagado,analisis-estilometrico-el-primer-conde-de-orgaz-y-servicio-bien-pagado
VALDIVIELSO_ProbanzasEHidalguiaDelHombre(Auto)(Transk-MSS),"Probanzas e hidalguía del hombre, Las",,https://etso.es/informes/analisis-estilometrico-las-probanzas-e-hidalguia-del-hombre,analisis-estilometrico-las-probanzas-e-hidalguia-del-hombre
CASTROdudosa_ProdigioDeLosMontes,"Prodigio de los montes y mártir del cielo, Santa Bárbara, El","Bárbara de los montes, La",https://etso.es/informes/analisis-estilometrico-el-prodigio-de-los-montes-y-martir-del-cielo-santa-barbara,analisis-estilometrico-el-prodigio-de-los-montes-y-martir-del-cielo-santa-barbara
