work_id,title,otrostitulos,automatic_slug,current_generated_slug,desired_report_slug,reason,old_slug_candidates
ROJO_AntiocoYSeleuco(Burlesca)(Transk-MSS),Antioco y Seleuco (Burlesca),,analisis-estilometrico-antioco-y-seleuco-burlesca,analisis-estilometrico-antioco-y-seleuco-burlesca,analisis-estilometrico-antioco-y-seleuco,descriptor-match,analisis-estilometrico-antioco-y-seleuco [Antíoco y Seleuco]
RAMOS-CASTILLO_AutoSacramental(Otro1)(Auto)(Transk-IMPR),Auto Sacramental (Emp: Señor galán embozado),,analisis-estilometrico-auto-sacramental-emp-senor-galan-embozado,analisis-estilometrico-auto-sacramental-emp-senor-galan-embozado,,descriptor-match,analisis-estilometrico-auto-sacramental-otro [Auto Sacramental (Emp: Por la verde maleza)]; analisis-estilometrico-auto-sacramental [Auto Sacramental (Emp: Ya se despedía el mayo)]
SANCHEZ-JUAN_CercoDeTunez(Transk-IMPR),"Cerco de Túnez, El",,analisis-estilometrico-el-cerco-de-tunez-0,analisis-estilometrico-el-cerco-de-tunez-0,analisis-estilometrico-el-cerco-de-tunez,title-match,"analisis-estilometrico-el-cerco-de-tunez [Cerco de Túnez, El]"
DESCONOCIDO_DosLucerosDeOriente(OtraVersion)(Transk-MSS),"Dos luceros de Oriente, Los (otra versión)",,analisis-estilometrico-los-dos-luceros-de-oriente-otra-version,analisis-estilometrico-los-dos-luceros-de-oriente-otra-version,analisis-estilometrico-los-dos-luceros-de-oriente,descriptor-match,"analisis-estilometrico-los-dos-luceros-de-oriente [Dos luceros de Oriente, Los]"
DESCONOCIDO_InclinacionEspanola,"Inclinación española, La",,analisis-estilometrico-la-inclinacion-espanola-0,analisis-estilometrico-la-inclinacion-espanola-0,analisis-estilometrico-la-inclinacion-espanola,title-match,"analisis-estilometrico-la-inclinacion-espanola [Inclinación española, La]"
LOPEZ-CASTRO_MarcoAntonio(Transk-MSS),Marco Antonio y Cleopatra,,analisis-estilometrico-marco-antonio-y-cleopatra,analisis-estilometrico-marco-antonio-y-cleopatra-0,analisis-estilometrico-marco-antonio-y-cleopatra,title-match,analisis-estilometrico-marco-antonio-y-cleopatra [Marco Antonio y Cleopatra]
CANIZARES_MasAmadaDeCristo(PrimeraParte)(Transk-IMPR),"Más amada de Cristo, santa Gertrudis la Magna, La",,analisis-estilometrico-la-mas-amada-de-cristo-santa-gertrudis-la-magna,analisis-estilometrico-la-mas-amada-de-cristo-santa-gertrudis-la-magna,analisis-estilometrico-la-mas-amada-de-cristo-santa-gertrudis-la-magna-segunda-parte,descriptor-match,"analisis-estilometrico-la-mas-amada-de-cristo-santa-gertrudis-la-magna-segunda-parte [Más amada de Cristo, Santa Gertrudis la Magna, La (Segunda parte)]"
VELEZ_NoviosDeHornachuelos(VersionManuscrito),"Novios de Hornachuelos, Los (Mss/15429)",,analisis-estilometrico-los-novios-de-hornachuelos-mss-15429,analisis-estilometrico-los-novios-de-hornachuelos-mss-15429,analisis-estilometrico-los-novios-de-hornachuelos,descriptor-match,"analisis-estilometrico-los-novios-de-hornachuelos [Novios de Hornachuelos, Los]"
DESCONOCIDO(2)_PadrinoDeSuAfrenta,"Padrino de su afrenta, El",,analisis-estilometrico-el-padrino-de-su-afrenta-0,analisis-estilometrico-el-padrino-de-su-afrenta-0,analisis-estilometrico-el-padrino-de-su-afrenta,title-match,"analisis-estilometrico-el-padrino-de-su-afrenta [Padrino de su afrenta, El]"
MORETO_Parecido(RefundicionPosterior),"Parecido, El (Refundición posterior)",,analisis-estilometrico-el-parecido-refundicion-posterior,analisis-estilometrico-el-parecido-refundicion-posterior,analisis-estilometrico-el-parecido,title-match; descriptor-match,"analisis-estilometrico-el-parecido [Parecido, El (Refundición posterior)]"
