work_id,slug
DESCONOCIDO_AlcidesDeLaMancha(Transk-IMPR),el-alcides-de-la-mancha-y-famoso-don-quijote
SOLIS_AlcazarDelSecreto,el-alcazar-del-secreto
LOPEdudosa_Aldehuela,la-aldehuela
LOPEdudosa_AlejandroElSegundo,alejandro-el-segundo
DIAMANTE_AlfeoYAretusa,alfeo-y-aretusa
PACHECO_AlferezDeCristo(Transk-MSS),alferez-de-cristo-el
MIRA&ALII_AlgunasHazanas,algunas-hazanas-de-las-muchas-de-don-garcia-hurtado-de-mendoza
CALDERON_AlimentosDelHombre(Auto),los-alimentos-del-hombre
LOPEdudosa_AllaDarasRayo,alla-daras-rayo
CASTRO_AllaVanLeyes(Transk-IMPR),alla-van-leyes-donde-quieren-reyes
LOPE_AlmenasDeToro,las-almenas-de-toro
CALDERON_AmadoYAborrecido,amado-y-aborrecido
LEIVA_AmadisYNiquea(Transk-IMPR),amadis-y-niquea
LOPE_AmanteAgradecido,el-amante-agradecido
ULLOA-GONZALO_AmanteMasCruel(Transk-IMPR),el-amante-mas-cruel-y-la-amistad-ya-difunta
AGUILAR_AmantesDeCartago,los-amantes-de-cartago
MONTALBAN_AmantesDeTeruel,los-amantes-de-teruel-0
TIRSOdudosa_AmantesDeTeruel,los-amantes-de-teruel
DESCONOCIDO_AmantesDeTerual(Burlesca)(Transk-IMPR),los-amantes-de-teruel-burlesca
ROZAS_AmantesDeVerona(Transk-IMPR),los-amantes-de-verona
PACHECO_AmantesNoVencidos(Transk-MSS),los-amantes-no-vencidos
LOZANO_AmantesPortugueses(Transk-IMPR),los-amantes-portugueses-y-querer-hasta-morir
LOPE_AmantesSinAmor,los-amantes-sin-amor
ARTIEDA_Amantes,los-amantes
TELLEZ-ACEVEDO_AmarAntesDeNacer(Transk-IMPR),amar-antes-de-nacer-la-paloma-dominica-santa-columba-de-reati
LOPE_AmarComoSeHaDeAmar,amar-como-se-ha-de-amar
CALDERON_AmarDespuesDeLaMuerte,amar-despues-de-la-muerte
ZAMORA_AmarEsSaberVencer(Transk-IMPR),amar-es-saber-vencer-y-el-arte-contra-el-poder
TIRSO_AmarPorArteMayor,amar-por-arte-mayor
LOPEdudosa_AmarPorBurla,amar-por-burla
TIRSO_AmarPorRazonDeEstado,amar-por-razon-de-estado
TIRSO_AmarPorSenas,amar-por-senas
MONTERO_AmarSinFavorecer(Transk-MSS),amar-sin-favorecer
LOPE_AmarSinSaberAQuien,amar-sin-saber-quien
MARTINEZ_AmarSinVer,amar-sin-ver
SALGADO_AmarYNoAgradecer(Transk-IMPR),amar-y-no-agradecer
LOPE_AmarServirYEsperar,amar-servir-y-esperar
MATAMOROS_AmarilisYAdonis(Auto)(Transk-MSS),amarilis-y-adonis
CASTILLO-JUAN_AmazonasDeEspana(Transk-IMPR),las-amazonas-de-espana-y-prodigio-de-castilla
TIRSO_AmazonasEnLasIndias,amazonas-en-las-indias
SOLIS_Amazonas(Transk-IMPR),las-amazonas
COELLO_AmigaMasVerdadera(Auto)(Transk-IMPR),la-amiga-mas-verdadera
LOPE_AmigoHastaLaMuerte,el-amigo-hasta-la-muerte
LOPE_AmigoPorFuerza,el-amigo-por-fuerza
CALDERON_AmigoAmanteYLeal,amigo-amante-y-leal
LOPEdudosa_AmigosEnojados,los-amigos-enojados
ALARCON_AmistadCastigada,la-amistad-castigada
VALDIVIELSO_AmistadEnElPeligro(Auto)(Modern-Aut),la-amistad-en-el-peligro
MALO_AmistadVenceAlRigor(Transk-IMPR),la-amistad-vence-al-rigor
LOPE_AmistadYObligacion,amistad-y-obligacion
